gene_name	strand	chrom	start	end
EXOC8	-	chr1	231468499	231473598
SPRTN	+	chr1	231472850	231490769
EGLN1	-	chr1	231499497	231558033
ENSG00000287856	-	chr1	231499543	231664349
TSNAX	+	chr1	231664287	231702270
TSNAX-DISC1	+	chr1	231664399	231954990
DISC1	+	chr1	231762536	232177018
SIPA1L2	-	chr1	232533711	232766317
MAP10	+	chr1	232941162	232945675
NTPCR	+	chr1	233086351	233119628
PCNX2	-	chr1	233119181	233431471
MAP3K21	+	chr1	233463470	233520894
KCNK1	+	chr1	233749852	233808260
SLC35F3	+	chr1	234040422	234460257
COA6	+	chr1	234509202	234520826
TARBP1	-	chr1	234527059	234614925
IRF2BP2	-	chr1	234740015	234745924
TOMM20	-	chr1	235272656	235292152
RBM34	-	chr1	235294498	235324598
ARID4B	-	chr1	235294949	235491534
GGPS1	+	chr1	235490665	235507847
TBCE	+	chr1	235491885	235615756
B3GALNT2	-	chr1	235610505	235667752
GNG4	-	chr1	235710985	235814054
LYST	-	chr1	235824341	236047024
NID1	-	chr1	236139130	236228409
GPR137B	+	chr1	236305805	236385165
ERO1B	-	chr1	236377981	236445319
EDARADD	+	chr1	236511557	236666215
LGALS8	+	chr1	236681300	236716281
HEATR1	-	chr1	236712305	236767816
ACTN2	+	chr1	236827441	236927931
MTR	+	chr1	236958560	237084578
MT1HL1	-	chr1	237167403	237167741
RYR2	+	chr1	237205484	237997288
ZP4	-	chr1	238041164	238054222
CHRM3	+	chr1	239549865	240078752
FMN2	+	chr1	240177648	240638487
GREM2	-	chr1	240652873	240775455
RGS7	-	chr1	240930936	241520674
FH	-	chr1	241660811	241683099
KMO	+	chr1	241695434	241758944
OPN3	-	chr1	241753404	241840678
CHML	-	chr1	241792153	241803671
WDR64	+	chr1	241815580	241966079
EXO1	+	chr1	242011269	242058450
BECN2	+	chr1	242121069	242122364
MAP1LC3C	-	chr1	242158792	242162400
PLD5	-	chr1	242246288	242687999
CEP170	-	chr1	243287730	243418650
SDCCAG8	+	chr1	243419336	243663393
AKT3	-	chr1	243651535	244014381
ZBTB18	+	chr1	244211849	244220778
C1orf100	+	chr1	244515937	244552965
ADSS2	-	chr1	244571796	244615211
CATSPERE	+	chr1	244617679	244804479
DESI2	+	chr1	244816405	244872335
ENSG00000284188	-	chr1	244893003	244894317
COX20	+	chr1	244998918	245008359
HNRNPU	-	chr1	245003940	245027862
EFCAB2	+	chr1	245132984	245290466
KIF26B	+	chr1	245318287	245872734
SMYD3	-	chr1	245912644	246670614
TFB2M	-	chr1	246703863	246729563
CNST	+	chr1	246729746	246831897
SCCPDH	+	chr1	246887711	246931439
AHCTF1	-	chr1	247002400	247095250
ZNF695	-	chr1	247108849	247171395
ZNF670-ZNF695	-	chr1	247108849	247242113
ZNF670	-	chr1	247197939	247242113
ZNF669	-	chr1	247263264	247267674
ZNF124	-	chr1	247285277	247335322
VN1R5	+	chr1	247419274	247420512
ZNF496	-	chr1	247460714	247495169
NLRP3	+	chr1	247579458	247612410
OR2B11	-	chr1	247612420	247621407
GCSAML	+	chr1	247670360	247740992
OR2C3	-	chr1	247687979	247699742
OR2G2	+	chr1	247751662	247752615
OR2G3	+	chr1	247768888	247769817
OR14L1P	+	chr1	247780445	247785674
OR13G1	-	chr1	247834114	247843041
OR6F1	-	chr1	247874738	247879948
ENSG00000239395	-	chr1	247875115	247887066
OR14A2	-	chr1	247886259	247911443
OR14K1	+	chr1	247901917	247902861
OR1C1	-	chr1	247918148	247923858
OR9H1P	+	chr1	247933471	247942826
OR14A16	-	chr1	247977962	247987421
OR11L1	-	chr1	248004230	248005198
TRIM58	+	chr1	248020489	248043440
OR2W3	+	chr1	248058889	248059833
OR2T8	+	chr1	248083554	248086454
OR2AJ1	+	chr1	248088191	248098641
OR2L8	+	chr1	248112160	248113098
OR2AK2	+	chr1	248128535	248129688
OR2L5	+	chr1	248176962	248187578
OR2L2	+	chr1	248193372	248205607
OR2L3	+	chr1	248210138	248226709
OR2L13	+	chr1	248258486	248264465
OR2M5	+	chr1	248308450	248309388
OR2M2	+	chr1	248338123	248344369
OR2M3	+	chr1	248360567	248376227
OR2M4	+	chr1	248394719	248407981
OR2T33	-	chr1	248433219	248441278
OR2T12	-	chr1	248453441	248466726
OR2M7	-	chr1	248486932	248487870
OR14C36	+	chr1	248512077	248513015
OR2T4	+	chr1	248524883	248525929
OR2T6	+	chr1	248539047	248555112
OR2T1	+	chr1	248566349	248571321
OR2T7	+	chr1	248599660	248607617
OR2T2	+	chr1	248608813	248619026
OR2T3	+	chr1	248636652	248637608
OR2T5	+	chr1	248651890	248654414
OR2G6	+	chr1	248671374	248690638
OR2T29	-	chr1	248720213	248726073
OR2T34	-	chr1	248737102	248738058
OR2T10	-	chr1	248753788	248761001
OR2T11	-	chr1	248786858	248798392
OR2T35	-	chr1	248799657	248808579
OR2T27	-	chr1	248813232	248814185
ENSG00000286015	-	chr1	248844550	248885506
OR14I1	-	chr1	248844623	248845629
LYPD8	-	chr1	248902716	248903150
SH3BP5L	-	chr1	249104645	249120114
ZNF672	+	chr1	249132409	249143716
ZNF692	-	chr1	249144205	249153343
PGBD2	+	chr1	249200395	249214145
FAM110C	-	chr2	38814	46870
SH3YL1	-	chr2	217730	266398
ACP1	+	chr2	264140	278283
ALKAL2	-	chr2	279558	288851
TMEM18	-	chr2	663877	677406
SNTG2	+	chr2	946535	1371385
TPO	+	chr2	1377838	1547483
PXDN	-	chr2	1635659	1748624
MYT1L	-	chr2	1792885	2335436
EIPR1	-	chr2	3192696	3381601
TRAPPC12	+	chr2	3383446	3488865
ADI1	-	chr2	3501137	3523302
ENSG00000286905	-	chr2	3579598	3605923
RNASEH1	-	chr2	3589020	3605923
RPS7	+	chr2	3622850	3628510
COLEC11	+	chr2	3642422	3692234
ALLC	+	chr2	3705790	3750261
DCDC2C	+	chr2	3751165	3895598
SOX11	+	chr2	5832516	5841517
CMPK2	-	chr2	6980701	7006766
RSAD2	+	chr2	7005688	7038370
RNF144A	+	chr2	7057543	7208417
ID2	+	chr2	8818975	8824591
KIDINS220	-	chr2	8861211	8977760
MBOAT2	-	chr2	8992820	9143838
ASAP2	+	chr2	9346894	9545812
ITGB1BP1	-	chr2	9543604	9563657
CPSF3	+	chr2	9563780	9613230
IAH1	+	chr2	9613787	9636672
ADAM17	-	chr2	9628615	9696861
YWHAQ	-	chr2	9724096	9771126
TAF1B	+	chr2	9983572	10074545
GRHL1	+	chr2	10091822	10142405
KLF11	+	chr2	10182976	10194963
CYS1	-	chr2	10196600	10221071
RRM2	+	chr2	10260825	10351851
HPCAL1	+	chr2	10443015	10567743
ODC1	-	chr2	10580094	10588453
NOL10	-	chr2	10702473	10830113
ATP6V1C2	+	chr2	10861226	10925236
PDIA6	-	chr2	10923517	10978103
KCNF1	+	chr2	11052060	11054351
C2orf50	+	chr2	11273254	11291443
SLC66A3	+	chr2	11295324	11318996
ROCK2	-	chr2	11319885	11488456
E2F6	-	chr2	11584501	11606303
GREB1	+	chr2	11622467	11782914
NTSR2	-	chr2	11798304	11810321
LPIN1	+	chr2	11817721	11967535
TRIB2	+	chr2	12857036	12882860
LRATD1	+	chr2	14772824	14790938
NBAS	-	chr2	15307040	15701464
DDX1	+	chr2	15731302	15774470
MYCN	+	chr2	16080672	16087129
CYRIA	-	chr2	16730727	16847599
RAD51AP2	-	chr2	17691846	17699707
VSNL1	+	chr2	17720393	17838285
SMC6	-	chr2	17845079	17981509
GEN1	+	chr2	17935125	17970213
MSGN1	+	chr2	17997727	17999065
KCNS3	+	chr2	18059114	18542882
RDH14	-	chr2	18735989	18741945
NT5C1B-RDH14	-	chr2	18736811	18770830
NT5C1B	-	chr2	18744137	18770838
OSR1	-	chr2	19551246	19558384
TTC32	-	chr2	20096392	20101744
WDR35	-	chr2	20110024	20189866
MATN3	-	chr2	20191813	20212429
LAPTM4A	-	chr2	20232411	20251389
SDC1	-	chr2	20400558	20425194
PUM2	-	chr2	20448452	20551995
RHOB	+	chr2	20646835	20649201
HS1BP3	-	chr2	20760208	20850890
GDF7	+	chr2	20866904	20879003
LDAH	-	chr2	20883774	21022890
APOB	-	chr2	21224301	21266945
TDRD15	+	chr2	21346840	21367240
KLHL29	+	chr2	23608050	23931481
ATAD2B	-	chr2	23971534	24149993
UBXN2A	+	chr2	24150155	24227779
MFSD2B	+	chr2	24232951	24286191
WDCP	-	chr2	24252217	24272445
FKBP1B	+	chr2	24272571	24286551
SF3B6	-	chr2	24290456	24299243
FAM228B	+	chr2	24299396	24392509
TP53I3	-	chr2	24300303	24308731
PFN4	-	chr2	24337679	24346334
ENSG00000276087	+	chr2	24347236	24413305
FAM228A	+	chr2	24397922	24423718
ITSN2	-	chr2	24425733	24583405
NCOA1	+	chr2	24714123	24993571
PTRHD1	-	chr2	25012597	25016260
CENPO	+	chr2	25016005	25045245
ADCY3	-	chr2	25042038	25143106
DNAJC27	-	chr2	25166505	25194963
EFR3B	+	chr2	25264945	25382004
POMC	-	chr2	25383722	25391772
DNMT3A	-	chr2	25450724	25565459
DTNB	-	chr2	25600067	25896516
ASXL2	-	chr2	25956622	26101356
KIF3C	-	chr2	26149467	26205618
RAB10	+	chr2	26256953	26360323
GAREM2	+	chr2	26395957	26412532
HADHA	-	chr2	26413504	26467540
HADHB	+	chr2	26466038	26513333
ADGRF3	-	chr2	26531041	26569685
SELENOI	+	chr2	26531415	26618753
DRC1	+	chr2	26624788	26679579
OTOF	-	chr2	26680071	26781624
FAM166C	+	chr2	26785453	26802400
CIB4	-	chr2	26804073	26864234
KCNK3	+	chr2	26915590	26956288
SLC35F6	+	chr2	26987152	27004099
CENPA	+	chr2	26987157	27023935
DPYSL5	+	chr2	27070615	27173219
MAPRE3	+	chr2	27193505	27250087
TMEM214	+	chr2	27255778	27264562
AGBL5	+	chr2	27265232	27293490
OST4	-	chr2	27293340	27294522
EMILIN1	+	chr2	27301483	27309271
KHK	+	chr2	27309640	27323630
CGREF1	-	chr2	27321757	27341996
ABHD1	+	chr2	27346657	27353680
PREB	-	chr2	27353624	27357534
PRR30	-	chr2	27359716	27362278
TCF23	+	chr2	27371872	27379842
SLC5A6	-	chr2	27422455	27435826
ATRAID	+	chr2	27434909	27440046
CAD	+	chr2	27440237	27466811
SLC30A3	-	chr2	27476552	27498685
DNAJC5G	+	chr2	27498301	27504367
TRIM54	+	chr2	27505297	27530307
UCN	-	chr2	27530268	27531313
MPV17	-	chr2	27532360	27548547
GTF3C2	-	chr2	27548716	27579866
EIF2B4	-	chr2	27587219	27593205
SNX17	+	chr2	27593363	27600402
ZNF513	-	chr2	27600102	27603657
PPM1G	-	chr2	27604062	27632458
NRBP1	+	chr2	27650657	27665126
KRTCAP3	+	chr2	27665233	27669348
IFT172	-	chr2	27667244	27712672
FNDC4	-	chr2	27714750	27718067
GCKR	+	chr2	27719706	27746551
C2orf16	+	chr2	27760253	27805589
ZNF512	+	chr2	27805836	27846084
CCDC121	-	chr2	27848505	27851879
GPN1	+	chr2	27851114	27874378
SUPT7L	-	chr2	27873676	27886707
SLC4A1AP	+	chr2	27886293	27918233
MRPL33	+	chr2	27994584	28210954
RBKS	-	chr2	28004246	28113548
BABAM2	+	chr2	28112808	28561768
FOSL2	+	chr2	28615315	28640184
PLB1	+	chr2	28680012	28867008
PPP1CB	+	chr2	28974506	29025806
SPDYA	+	chr2	29005383	29073477
TRMT61B	-	chr2	29072687	29093175
WDR43	+	chr2	29117533	29171085
TOGARAM2	+	chr2	29179477	29275096
PCARE	-	chr2	29283842	29297389
CLIP4	+	chr2	29320571	29422643
ALK	-	chr2	29415640	30144452
YPEL5	+	chr2	30369807	30383399
LBH	+	chr2	30454400	30546596
LCLAT1	+	chr2	30670092	30867091
CAPN13	-	chr2	30945637	31043408
GALNT14	-	chr2	31133333	31378068
CAPN14	-	chr2	31395922	31456724
EHD3	+	chr2	31457018	31492317
XDH	-	chr2	31557187	31637608
SRD5A2	-	chr2	31747550	31806007
MEMO1	-	chr2	32090129	32236299
DPY30	-	chr2	32092878	32264874
SPAST	+	chr2	32288625	32382706
SLC30A6	+	chr2	32390910	32449448
NLRC4	-	chr2	32449522	32490801
YIPF4	+	chr2	32502973	32541663
BIRC6	+	chr2	32582091	32844638
TTC27	+	chr2	32853099	33046118
LTBP1	+	chr2	33172020	33624576
RASGRP3	+	chr2	33661391	33789817
FAM98A	-	chr2	33757811	33824414
CRIM1	+	chr2	36582921	36778278
FEZ2	-	chr2	36758948	36873230
VIT	+	chr2	36923833	37041937
STRN	-	chr2	37064841	37193679
HEATR5B	-	chr2	37195526	37311515
GPATCH11	+	chr2	37311661	37326387
EIF2AK2	-	chr2	37326353	37384665
SULT6B1	-	chr2	37394963	37423741
CEBPZOS	+	chr2	37423631	37443336
CEBPZ	-	chr2	37428755	37458739
NDUFAF7	+	chr2	37458774	37480546
PRKD3	-	chr2	37477645	37551976
QPCT	+	chr2	37569970	37600465
CDC42EP3	-	chr2	37869025	37965611
RMDN2	+	chr2	38150330	38294285
CYP1B1	-	chr2	38294116	38337044
ATL2	-	chr2	38521096	38604427
HNRNPLL	-	chr2	38789111	38830728
GALM	+	chr2	38893223	38968379
SRSF7	-	chr2	38970741	38978636
GEMIN6	+	chr2	38978676	39012144
DHX57	-	chr2	39024871	39103075
MORN2	+	chr2	39103117	39156213
ARHGEF33	+	chr2	39117016	39202595
SOS1	-	chr2	39189347	39351486
CDKL4	-	chr2	39395186	39471124
MAP4K3	-	chr2	39476407	39664442
TMEM178A	+	chr2	39892122	39945103
THUMPD2	-	chr2	39963200	40006407
SLC8A1	-	chr2	40324410	40838193
PKDCC	+	chr2	42275161	42285657
EML4	+	chr2	42396493	42559688
COX7A2L	-	chr2	42560686	42652228
KCNG3	-	chr2	42669157	42721122
MTA3	+	chr2	42721709	42984087
OXER1	-	chr2	42989639	42991275
HAAO	-	chr2	42994229	43019733
ZFP36L2	-	chr2	43449541	43453745
THADA	-	chr2	43457990	43823177
PLEKHH2	+	chr2	43864399	43995126
C1GALT1C1L	-	chr2	43902290	43903568
DYNC2LI1	+	chr2	44001178	44037149
ABCG5	-	chr2	44039611	44066004
ABCG8	+	chr2	44059081	44110127
LRPPRC	-	chr2	44113363	44223365
PPM1B	+	chr2	44395108	44471523
ENSG00000285542	+	chr2	44395990	44547449
SLC3A1	+	chr2	44502597	44548633
PREPL	-	chr2	44543420	44589001
CAMKMT	+	chr2	44589086	44999731
SIX3	+	chr2	45168841	45173210
SIX2	-	chr2	45232321	45236591
SRBD1	-	chr2	45615819	45839304
PRKCE	+	chr2	45878484	46415129
EPAS1	+	chr2	46520806	46613836
TMEM247	+	chr2	46706704	46711564
ATP6V1E2	-	chr2	46717889	46769716
RHOQ	+	chr2	46768945	46811827
PIGF	-	chr2	46808076	46844194
CRIPT	+	chr2	46843555	46857315
SOCS5	+	chr2	46926091	47007384
MCFD2	-	chr2	47129009	47168994
TTC7A	+	chr2	47143008	47303276
STPG4	-	chr2	47272677	47382447
ENSG00000273269	-	chr2	47293080	47403650
CALM2	-	chr2	47387223	47404060
EPCAM	+	chr2	47572297	47614740
MSH2	+	chr2	47630206	47890285
KCNK12	-	chr2	47736429	47798124
MSH6	+	chr2	47922669	48037202
FBXO11	-	chr2	48016455	48133637
FOXN2	+	chr2	48541776	48606434
PPP1R21	+	chr2	48667737	48742530
STON1	+	chr2	48756522	48825652
STON1-GTF2A1L	+	chr2	48757064	49003656
GTF2A1L	+	chr2	48844937	48960287
ENSG00000279956	-	chr2	48859430	48982863
LHCGR	-	chr2	48913913	48982869
FSHR	-	chr2	49189296	49381666
NRXN1	-	chr2	50145641	51452713
ASB3	-	chr2	53759810	54087297
CHAC2	+	chr2	53994941	54002333
ERLEC1	+	chr2	54014146	54060175
GPR75	-	chr2	54080049	54087104
PSME4	-	chr2	54091206	54198130
ACYP2	+	chr2	54197975	54532437
TSPYL6	-	chr2	54480315	54483366
C2orf73	+	chr2	54557171	54610879
SPTBN1	+	chr2	54683454	54898583
EML6	+	chr2	54950636	55199161
RTN4	-	chr2	55199323	55339757
CLHC1	-	chr2	55399683	55459699
RPS27A	+	chr2	55459039	55462989
MTIF2	-	chr2	55463731	55496483
CCDC88A	-	chr2	55514978	55647031
CFAP36	+	chr2	55746740	55772215
PPP4R3B	-	chr2	55774428	55846015
PNPT1	-	chr2	55861196	55920998
EFEMP1	-	chr2	56093102	56151274
CCDC85A	+	chr2	56411125	56613307
VRK2	+	chr2	58134764	58387055
FANCL	-	chr2	58386378	58468545
BCL11A	-	chr2	60677655	60781602
PAPOLG	+	chr2	60983388	61029221
REL	+	chr2	61108626	61158747
PUS10	-	chr2	61167357	61245394
PEX13	+	chr2	61244360	61279125
SANBR	+	chr2	61293006	61365169
C2orf74	+	chr2	61372203	61391963
USP34	-	chr2	61414598	61698222
XPO1	-	chr2	61703167	61765876
FAM161A	-	chr2	62051983	62081278
CCT4	-	chr2	62095220	62115806
COMMD1	+	chr2	62115859	62374382
B3GNT2	+	chr2	62423250	62451866
TMEM17	-	chr2	62727353	62739029
EHBP1	+	chr2	62900986	63273622
OTX1	+	chr2	63277192	63284971
WDPCP	-	chr2	63346694	64054977
MDH1	+	chr2	63815743	63834331
UGP2	+	chr2	64068086	64118696
VPS54	-	chr2	64119280	64246562
PELI1	-	chr2	64319786	64371554
LGALSL	+	chr2	64681103	64688515
AFTPH	+	chr2	64751433	64820139
SERTAD2	-	chr2	64858755	64978139
SLC1A4	+	chr2	65215611	65250999
CEP68	+	chr2	65283488	65314138
RAB1A	-	chr2	65297830	65357465
ACTR2	+	chr2	65454922	65498387
SPRED2	-	chr2	65537985	65659771
MEIS1	+	chr2	66660584	66801001
ETAA1	+	chr2	67624454	67639221
C1D	-	chr2	68268262	68338080
DNAAF10	-	chr2	68350068	68384681
ENSG00000273398	-	chr2	68358370	68488362
PNO1	+	chr2	68385020	68403370
PPP3R1	-	chr2	68405989	68483369
CNRIP1	-	chr2	68511303	68547183
PLEK	+	chr2	68592414	68624585
FBXO48	-	chr2	68686554	68694426
APLF	+	chr2	68694704	68882994
PROKR1	+	chr2	68870711	68885383
ARHGAP25	+	chr2	68906733	69053965
BMP10	-	chr2	69088041	69098529
GKN2	-	chr2	69172364	69180025
GKN1	+	chr2	69201705	69208112
ANTXR1	+	chr2	69240308	69476459
GFPT1	-	chr2	69546912	69614382
NFU1	-	chr2	69623245	69664760
AAK1	-	chr2	69685129	69901481
ANXA4	+	chr2	69871557	70054244
GMCL1	+	chr2	70056792	70108516
SNRNP27	+	chr2	70121088	70132707
MXD1	+	chr2	70124820	70170077
ASPRV1	-	chr2	70187221	70188763
PCBP1	+	chr2	70314609	70316335
C2orf42	-	chr2	70377017	70475747
TIA1	-	chr2	70436576	70475792
PCYOX1	+	chr2	70484518	70508317
SNRPG	-	chr2	70508494	70520872
FAM136A	-	chr2	70523108	70529199
TGFA	-	chr2	70674416	70781325
ADD2	-	chr2	70834750	70995357
FIGLA	-	chr2	71004442	71017775
CLEC4F	-	chr2	71035775	71047731
CD207	-	chr2	71057342	71062946
VAX2	+	chr2	71127706	71192503
ATP6V1B1	+	chr2	71163030	71192561
ENSG00000258881	-	chr2	71166448	71222466
TEX261	-	chr2	71195455	71222003
ANKRD53	+	chr2	71205510	71212629
NAGK	+	chr2	71291474	71306938
MCEE	-	chr2	71336814	71357369
MPHOSPH10	+	chr2	71357440	71377231
PAIP2B	-	chr2	71409868	71454233
ZNF638	+	chr2	71503691	71662199
DYSF	+	chr2	71680691	71913893
CYP26B1	-	chr2	72356367	72374991
EXOC6B	-	chr2	72403113	73053170
SPR	+	chr2	73114511	73119287
EMX1	+	chr2	73143389	73163200
SFXN5	-	chr2	73169165	73302747
RAB11FIP5	-	chr2	73300510	73383849
NOTO	+	chr2	73429702	73439641
SMYD5	+	chr2	73441350	73454349
PRADC1	-	chr2	73455138	73460367
CCT7	+	chr2	73460548	73480149
FBXO41	-	chr2	73481810	73511606
EGR4	-	chr2	73518057	73520829
ALMS1	+	chr2	73612886	73852293
NAT8	-	chr2	73867850	73869549
NAT8B	-	chr2	73927703	73928467
TPRKB	-	chr2	73956231	73964527
DUSP11	-	chr2	73988909	74007259
C2orf78	+	chr2	74011310	74044275
STAMBP	+	chr2	74056043	74100786
ACTG2	+	chr2	74119441	74146992
DGUOK	+	chr2	74153953	74186088
TET3	+	chr2	74212037	74335303
BOLA3	-	chr2	74362527	74375039
MOB1A	-	chr2	74379655	74406025
MTHFD2	+	chr2	74413299	74444692
ENSG00000264324	-	chr2	74438731	74590504
SLC4A5	-	chr2	74443369	74570543
DCTN1	-	chr2	74588281	74619214
ENSG00000159239	-	chr2	74620963	74648789
C2orf81	-	chr2	74641303	74648746
WDR54	+	chr2	74648805	74652882
RTKN	-	chr2	74652962	74669549
INO80B	+	chr2	74682214	74685071
INO80B-WBP1	+	chr2	74682215	74688011
WBP1	+	chr2	74685527	74688018
MOGS	-	chr2	74688184	74692537
MRPL53	-	chr2	74699109	74699814
CCDC142	-	chr2	74699113	74710535
TTC31	+	chr2	74710200	74721686
LBX2	-	chr2	74724644	74730443
PCGF1	-	chr2	74732170	74734822
TLX2	+	chr2	74740590	74744275
DQX1	-	chr2	74745258	74753408
AUP1	-	chr2	74753772	74756887
HTRA2	+	chr2	74756723	74760477
LOXL3	-	chr2	74759385	74782817
DOK1	+	chr2	74776153	74784678
M1AP	-	chr2	74785010	74875465
SEMA4F	+	chr2	74881355	74910980
HK2	+	chr2	75061254	75120486
POLE4	+	chr2	75185770	75197255
TACR1	-	chr2	75273590	75426646
EVA1A	-	chr2	75696428	75796848
MRPL19	+	chr2	75873909	75917977
GCFC2	-	chr2	75879126	75938111
LRRTM4	-	chr2	76974811	77820445
REG3G	+	chr2	79252812	79255631
REG1B	-	chr2	79312149	79315145
REG1A	+	chr2	79347488	79350535
REG3A	-	chr2	79384129	79386879
CTNNA2	+	chr2	79412357	80875986
LRRTM1	-	chr2	80515476	80531877
SUCLG1	-	chr2	84650652	84687169
DNAH6	+	chr2	84743579	85046713
TRABD2A	-	chr2	85048774	85134132
TMSB10	+	chr2	85132780	85133795
KCMF1	+	chr2	85198216	85286595
TCF7L1	+	chr2	85360515	85537510
TGOLN2	-	chr2	85545150	85555374
RETSAT	-	chr2	85569078	85581654
ELMOD3	+	chr2	85581517	85618875
CAPG	-	chr2	85621876	85645555
SH2D6	+	chr2	85645837	85664152
MAT2A	+	chr2	85766291	85772404
GGCX	-	chr2	85771843	85788655
VAMP8	+	chr2	85788685	85809154
VAMP5	+	chr2	85811554	85820529
RNF181	+	chr2	85822848	85824831
TMEM150A	-	chr2	85825670	85830319
USP39	+	chr2	85829979	85876406
C2orf68	-	chr2	85832377	85839189
SFTPB	-	chr2	85884437	85895864
GNLY	+	chr2	85912298	85925975
ATOH8	+	chr2	85978467	86018506
ST3GAL5	-	chr2	86064243	86132322
POLR1A	-	chr2	86247339	86333278
PTCD3	+	chr2	86333346	86369280
IMMT	-	chr2	86371055	86422595
MRPL35	+	chr2	86426478	86440913
REEP1	-	chr2	86441116	86565206
KDM3A	+	chr2	86667770	86719839
CHMP3	-	chr2	86730553	86790602
RNF103-CHMP3	-	chr2	86732791	86948245
RNF103	-	chr2	86830521	86850989
RMND5A	+	chr2	86947414	87005164
CD8A	-	chr2	87011733	87035519
CD8B	-	chr2	87042462	87089047
RGPD1	+	chr2	87140906	87241099
PLGLB1	-	chr2	87229682	87248975
PLGLB2	+	chr2	88047606	88058995
RGPD2	-	chr2	88055479	88125315
KRCC1	-	chr2	88326724	88363771
SMYD1	+	chr2	88367344	88412903
FABP1	-	chr2	88422501	88427581
THNSL2	+	chr2	88469814	88486155
FOXI3	-	chr2	88746306	88752211
TEX37	+	chr2	88824167	88829103
EIF2AK3	-	chr2	88856259	88991036
RPIA	+	chr2	88991191	89050446
RP11-685N3.1	-	chr2	90537839	90538397
TEKT4	+	chr2	95537175	95542568
MAL	+	chr2	95691422	95719737
MRPS5	-	chr2	95751114	95787751
ENSG00000289685	-	chr2	95751136	95831136
ZNF514	-	chr2	95787832	95831413
ZNF2	+	chr2	95831177	95850065
ENSG00000233757	+	chr2	95873269	95925522
PROM2	+	chr2	95940197	95957056
KCNIP3	+	chr2	95963075	96051825
FAHD2A	+	chr2	96068456	96082364
TRIM43B	-	chr2	96142756	96150502
TRIM43	+	chr2	96257749	96265526
ANKRD36C	-	chr2	96502667	96657579
GPAT2	-	chr2	96687694	96705199
ADRA2B	-	chr2	96778624	96782310
ASTL	-	chr2	96788557	96804241
DUSP2	-	chr2	96808908	96811179
STARD7	-	chr2	96850597	96874565
TMEM127	-	chr2	96914252	96931735
CIAO1	+	chr2	96931897	96939911
SNRNP200	-	chr2	96940076	96987009
ITPRIPL1	+	chr2	96991055	96996255
NCAPH	+	chr2	97001504	97042829
NEURL3	-	chr2	97163383	97173846
ARID5A	+	chr2	97202480	97218371
KANSL3	-	chr2	97258907	97308524
FER1L5	+	chr2	97308474	97370624
LMAN2L	-	chr2	97371666	97405801
CNNM4	+	chr2	97426639	97477611
CNNM3	+	chr2	97481982	97501119
ANKRD23	-	chr2	97490263	97523671
ANKRD39	-	chr2	97502348	97523753
SEMA4C	-	chr2	97525455	97536494
FAM178B	-	chr2	97541619	97652317
FAHD2B	-	chr2	97749320	97760619
ANKRD36	+	chr2	97778890	97930258
ANKRD36B	-	chr2	98109127	98206340
COX5B	+	chr2	98262525	98264846
ACTR1B	-	chr2	98272402	98280507
C2orf92	+	chr2	98280680	98319529
ZAP70	+	chr2	98330039	98356325
TMEM131	-	chr2	98372796	98612411
VWA3B	+	chr2	98703579	98929762
CNGA3	+	chr2	98962651	99015064
INPP4A	+	chr2	99061317	99210855
COA5	-	chr2	99215777	99224978
UNC50	+	chr2	99225042	99234978
MGAT4A	-	chr2	99235569	99347595
CRACDL	-	chr2	99410309	99552722
TSGA10	-	chr2	99613724	99771427
ENSG00000241962	+	chr2	99757948	99939204
C2orf15	+	chr2	99758170	99768132
LIPT1	+	chr2	99771418	99779620
ENSG00000273155	+	chr2	99771461	99811761
MITD1	-	chr2	99777890	99797521
MRPL30	+	chr2	99797615	99816024
LYG2	-	chr2	99858709	99872129
LYG1	-	chr2	99900701	99921205
TXNDC9	-	chr2	99935445	99957165
EIF5B	+	chr2	99953834	100017789
REV1	-	chr2	100016938	100106497
AFF3	-	chr2	100161881	100808890
LONRF2	-	chr2	100888337	100938963
CHST10	-	chr2	101008322	101034130
NMS	+	chr2	101086944	101099742
PDCL3	+	chr2	101179455	101193201
NPAS2	+	chr2	101436601	101613291
RPL31	+	chr2	101618691	101640494
TBC1D8	-	chr2	101623690	101869328
CNOT11	+	chr2	101869348	101886778
RNF149	-	chr2	101887681	101925163
CREG2	-	chr2	101962012	102003965
RFX8	-	chr2	102013821	102091574
MAP4K4	+	chr2	102313312	102511152
FLJ20373	+	chr2	102508955	102511150
IL1R2	+	chr2	102608422	102645006
IL1R1	+	chr2	102681004	102796334
IL1RL2	+	chr2	102803466	102856462
IL1RL1	+	chr2	102927962	102968497
IL18R1	+	chr2	102927989	103015237
IL18RAP	+	chr2	103035149	103069025
SLC9A4	+	chr2	103089685	103150431
SLC9A2	+	chr2	103236012	103327814
MFSD9	-	chr2	103331089	103353347
TMEM182	+	chr2	103353364	103636358
POU3F3	+	chr2	105469745	105475032
MRPS9	+	chr2	105654527	105716418
GPR45	+	chr2	105858200	105859924
AC012360.1	+	chr2	105867759	105869601
TGFBRAP1	-	chr2	105880848	105946192
C2orf49	+	chr2	105953989	105965668
FHL2	-	chr2	105974169	106054970
NCK2	+	chr2	106361369	106510730
ECRG4	+	chr2	106679702	106694611
UXS1	-	chr2	106709764	106810757
RGPD3	-	chr2	107007746	107084869
AC108868.1	-	chr2	107099728	107103848
