chrom	start	end	strand	gene
chr1	248038268	248039203	+	OR2L2
chr1	248060682	248061617	+	OR2L3
chr1	248099376	248100311	+	OR2L13
chr1	248145148	248146083	+	OR2M5
chr1	248179986	248181026	+	OR2M2
chr1	248203068	248204003	+	OR2M3
chr1	248238929	248239861	+	OR2M4
chr1	248272855	248273814	-	OR2T33
chr1	248294619	248295578	-	OR2T12
chr1	248323633	248324568	-	OR2M7
chr1	248348775	248349710	+	OR14C36
chr1	248361665	248362624	+	OR2T4
chr1	248387609	248388532	+	OR2T6
chr1	248406148	248407101	+	OR2T1
chr1	248452798	248453769	+	OR2T2
chr1	248473351	248474304	+	OR2T3
chr1	248488589	248489533	+	OR2T5
chr1	248521647	248522594	+	OR2G6
chr1	248558547	248559491	-	OR2T29
chr1	248573804	248574757	-	OR2T34
chr1	248592833	248593768	-	OR2T10
chr1	248626181	248627128	-	OR2T11
chr1	248638290	248639258	-	OR2T35
chr1	248649934	248650884	-	OR2T27
chr1	248681372	248682304	-	OR14I1
chr1	248685501	248748349	-	RP11-438F14.11
chr1	248739614	248751081	-	LYPD8
chr1	248811903	248824935	-	SH3BP5L
chr1	248847275	248848630	+	ZNF672
chr1	248850213	248858514	-	ZNF692
chr1	248913863	248918360	+	PGBD2
chr2	41611	46385	-	FAM110C
chr2	218814	263984	-	SH3YL1
chr2	264965	277301	+	ACP1
chr2	280150	287835	-	ALKAL2
chr2	669583	677345	-	TMEM18
chr2	950997	1367471	+	SNTG2
chr2	1414409	1542589	+	TPO
chr2	1634207	1744455	-	PXDN
chr2	1791239	1979777	-	MYT1L
chr2	3189337	3377689	-	EIPR1
chr2	3387624	3484875	+	TRAPPC12
chr2	3498966	3519487	-	ADI1
chr2	3545788	3558260	-	RNASEH1
chr2	3545788	3558260	-	RP13-512J5.1
chr2	3575610	3580879	+	RPS7
chr2	3603646	3644115	+	COLEC11
chr2	3671158	3702560	+	ALLC
chr2	3703752	3847180	+	DCDC2C
chr2	5692722	5694044	+	SOX11
chr2	6840573	6865696	-	CMPK2
chr2	6865904	6895939	+	RSAD2
chr2	6996927	7068272	+	RNF144A
chr2	8682166	8682896	+	ID2
chr2	8726896	8827093	-	KIDINS220
chr2	8858682	9003614	-	MBOAT2
chr2	9207105	9403324	+	ASAP2
chr2	9406837	9418697	-	ITGB1BP1
chr2	9423774	9473014	+	CPSF3
chr2	9474567	9488326	+	IAH1
chr2	9490180	9555605	-	ADAM17
chr2	9585289	9630452	-	YWHAQ
chr2	9843542	9933981	+	TAF1B
chr2	9951834	10000704	+	GRHL1
chr2	10043717	10052504	+	KLF11
chr2	10058856	10080223	-	CYS1
chr2	10122619	10142258	+	RRM2
chr2	10419758	10426818	+	HPCAL1
chr2	10440727	10445032	-	ODC1
chr2	10572074	10689861	-	NOL10
chr2	10722850	10783260	+	ATP6V1C2
chr2	10784261	10837605	-	PDIA6
chr2	10912427	10913908	+	KCNF1
chr2	11133335	11144108	+	C2orf50
chr2	11155218	11177825	+	SLC66A3
chr2	11183440	11344136	-	ROCK2
chr2	11446480	11465879	-	E2F6
chr2	11556615	11640451	+	GREB1
chr2	11658482	11670129	-	NTSR2
chr2	11677648	11824788	+	LPIN1
chr2	12718308	12740791	+	TRIB2
chr2	14633980	14634855	+	LRATD1
chr2	15167051	15561304	-	NBAS
chr2	15591934	15630903	+	DDX1
chr2	15940587	15946094	+	MYCN
chr2	16552939	16588119	-	CYRIA
chr2	17510807	17518415	-	RAD51AP2
chr2	17592075	17655391	+	VSNL1
chr2	17665502	17745946	-	SMC6
chr2	17759944	17781936	+	GEN1
chr2	17816519	17817097	+	MSGN1
chr2	17931009	17932481	+	KCNS3
chr2	18555194	18560572	-	RDH14
chr2	18555545	18589468	-	NT5C1B-RDH14
chr2	18563799	18589468	-	NT5C1B
chr2	19352278	19353805	-	OSR1
chr2	19896990	19901854	-	TTC32
chr2	19913561	19990015	-	WDR35
chr2	19993114	20012631	-	MATN3
chr2	20033208	20051520	-	LAPTM4A
chr2	20202273	20224867	-	SDC1
chr2	20251588	20327360	-	PUM2
chr2	20447466	20448053	+	RHOB
chr2	20560448	20651063	-	HS1BP3
chr2	20667240	20671422	+	GDF7
chr2	20684899	20801463	-	LDAH
chr2	21001733	21043945	-	APOB
chr2	21137468	21143269	+	TDRD15
chr2	23562197	23706661	+	KLHL29
chr2	23752049	23926770	-	ATAD2B
chr2	23958315	23999864	+	UBXN2A
chr2	24010097	24033179	+	MFSD2B
chr2	24030936	24039494	-	WDCP
chr2	24049850	24063189	+	FKBP1B
chr2	24067765	24076229	-	SF3B6
chr2	24077582	24084326	-	TP53I3
chr2	24115586	24122535	-	PFN4
chr2	24124362	24169389	+	FAM228B
chr2	24124455	24172662	+	RP11-507M3.1
chr2	24175481	24200741	+	FAM228A
chr2	24203629	24328115	-	ITSN2
chr2	24658678	24768388	+	NCOA1
chr2	24790414	24793377	-	PTRHD1
chr2	24793474	24817803	+	CENPO
chr2	24819935	24918987	-	ADCY3
chr2	24947619	24971904	-	DNAJC27
chr2	25042313	25154337	+	EFR3B
chr2	25161084	25164772	-	POMC
chr2	25234282	25313984	-	DNMT3A
chr2	25379322	25652660	-	DTNB
chr2	25742032	25878222	-	ASXL2
chr2	25928981	25981917	-	KIF3C
chr2	26034609	26135018	+	RAB10
chr2	26173221	26188254	+	GAREM2
chr2	26191253	26244596	-	HADHA
chr2	26254255	26289950	+	HADHB
chr2	26309089	26346234	-	ADGRF3
chr2	26346233	26389100	+	SELENOI
chr2	26401990	26456514	+	DRC1
chr2	26458043	26558571	-	OTOF
chr2	26562613	26579435	+	FAM166C
chr2	26581366	26641314	-	CIB4
chr2	26692876	26728565	+	KCNK3
chr2	26764350	26778508	+	SLC35F6
chr2	26786197	26793276	+	CENPA
chr2	26898500	26946992	+	DPYSL5
chr2	27022219	27026345	+	MAPRE3
chr2	27033016	27040834	+	TMEM214
chr2	27052959	27070260	+	AGBL5
chr2	27071352	27071462	-	OST4
chr2	27079066	27086012	+	EMILIN1
chr2	27087260	27099747	+	KHK
chr2	27099787	27104732	-	CGREF1
chr2	27123949	27130741	+	ABHD1
chr2	27131370	27134421	-	PREB
chr2	27136918	27138329	-	PRR30
chr2	27149134	27152864	+	TCF23
chr2	27200439	27207650	-	SLC5A6
chr2	27212204	27216945	+	ATRAID
chr2	27217552	27243515	+	CAD
chr2	27255315	27275232	-	SLC30A3
chr2	27276729	27280219	+	DNAJC5G
chr2	27282732	27306538	+	TRIM54
chr2	27307524	27307895	-	UCN
chr2	27309880	27324450	-	MPV17
chr2	27326192	27343554	-	GTF3C2
chr2	27364403	27370314	-	EIF2B4
chr2	27370744	27376716	+	SNX17
chr2	27377548	27380526	-	ZNF513
chr2	27381602	27409422	-	PPM1G
chr2	27433274	27441809	+	NRBP1
chr2	27442413	27444053	+	KRTCAP3
chr2	27444435	27489653	-	IFT172
chr2	27492446	27494679	-	FNDC4
chr2	27496905	27523436	+	GCKR
chr2	27537427	27582524	+	C2orf16
chr2	27583113	27621458	+	ZNF512
chr2	27626966	27628763	-	CCDC121
chr2	27628708	27650197	+	GPN1
chr2	27653488	27662192	-	SUPT7L
chr2	27663753	27694680	+	SLC4A1AP
chr2	27771778	27894575	+	MRPL33
chr2	27781618	27890345	-	RBKS
chr2	27894557	28338510	+	BABAM2
chr2	28392810	28412445	+	FOSL2
chr2	28496115	28643058	+	PLB1
chr2	28752125	28799300	+	PPP1CB
chr2	28816015	28849938	+	SPDYA
chr2	28850202	28870277	-	TRMT61B
chr2	28894699	28946776	+	WDR43
chr2	28994835	29052090	+	TOGARAM2
chr2	29064872	29074261	-	PCARE
chr2	29121389	29189602	+	CLIP4
chr2	29193227	29920659	-	ALK
chr2	30156652	30158840	+	YPEL5
chr2	30231739	30323533	+	LBH
chr2	30459613	30640616	+	LCLAT1
chr2	30730763	30787325	-	CAPN13
chr2	30910904	31138086	-	GALNT14
chr2	31174684	31205447	-	CAPN14
chr2	31234622	31266701	+	EHD3
chr2	31335961	31414666	-	XDH
chr2	31526199	31580900	-	SRD5A2
chr2	31868364	32010247	-	MEMO1
chr2	32024187	32039456	-	DPY30
chr2	32063832	32154495	+	SPAST
chr2	32165901	32220710	+	SLC30A6
chr2	32224476	32256775	-	NLRC4
chr2	32278156	32307148	+	YIPF4
chr2	32357162	32617901	+	BIRC6
chr2	32628293	32820935	+	TTC27
chr2	32947325	33398542	+	LTBP1
chr2	33515137	33562734	+	RASGRP3
chr2	33584779	33599221	-	FAM98A
chr2	36356293	36548698	+	CRIM1
chr2	36552134	36598142	-	FEZ2
chr2	36716371	36814358	+	VIT
chr2	36849459	36966463	-	STRN
chr2	36968471	37083414	-	HEATR5B
chr2	37084518	37096260	+	GPATCH11
chr2	37107276	37147806	-	EIF2AK2
chr2	37167938	37188640	-	SULT6B1
chr2	37199705	37201721	+	CEBPZOS
chr2	37201767	37231567	-	CEBPZ
chr2	37231706	37248347	+	NDUFAF7
chr2	37253180	37316524	-	PRKD3
chr2	37344732	37372824	+	QPCT
chr2	37645826	37646587	-	CDC42EP3
chr2	37929278	38066987	+	RMDN2
chr2	38070725	38075388	-	CYP1B1
chr2	38295997	38377260	-	ATL2
chr2	38564185	38602867	-	HNRNPLL
chr2	38666162	38741167	+	GALM
chr2	38745136	38751256	-	SRSF7
chr2	38778991	38781889	+	GEMIN6
chr2	38798302	38868405	-	DHX57
chr2	38876053	38889948	+	MORN2
chr2	38919448	38973840	+	ARHGEF33
chr2	38985827	39120422	-	SOS1
chr2	39175998	39229532	-	CDKL4
chr2	39250621	39436987	-	MAP4K3
chr2	39665975	39717248	+	TMEM178A
chr2	39736738	39779239	-	THUMPD2
chr2	40115256	40430280	-	SLC8A1
chr2	42048200	42057685	+	PKDCC
chr2	42169612	42330204	+	EML4
chr2	42333777	42361161	-	COX7A2L
chr2	42443937	42493501	-	KCNG3
chr2	42568746	42753396	+	MTA3
chr2	42762911	42764179	-	OXER1
chr2	42767440	42792536	-	HAAO
chr2	43224322	43226315	-	ZFP36L2
chr2	43230951	43592392	-	THADA
chr2	43644674	43765595	+	PLEKHH2
chr2	43675378	43676322	-	C1GALT1C1L
chr2	43774139	43809764	+	DYNC2LI1
chr2	43813119	43838679	-	ABCG5
chr2	43832587	43877910	+	ABCG8
chr2	43888603	43996162	-	LRPPRC
chr2	44201200	44232342	+	PPM1B
chr2	44201200	44275521	+	RP11-24I5.1
chr2	44275536	44320636	+	SLC3A1
chr2	44320639	44359715	-	PREPL
chr2	44362008	44772110	+	CAMKMT
chr2	44942105	44944757	+	SIX3
chr2	45006173	45009110	-	SIX2
chr2	45389313	45605441	-	SRBD1
chr2	45652101	46184878	+	PRKCE
chr2	46297912	46384657	+	EPAS1
chr2	46479586	46484425	+	TMEM247
chr2	46512034	46512711	-	ATP6V1E2
chr2	46543047	46581080	+	RHOQ
chr2	46581481	46615164	-	PIGF
chr2	46617283	46624224	+	CRIPT
chr2	46758531	46770876	+	SOCS5
chr2	46905466	46941663	-	MCFD2
chr2	46917196	47073920	+	TTC7A
chr2	47087011	47155251	-	STPG4
chr2	47152991	47176511	-	RP11-761B3.1
chr2	47160779	47176541	-	CALM2
chr2	47369076	47386610	+	EPCAM
chr2	47403192	47632803	+	MSH2
chr2	47520910	47570331	-	KCNK12
chr2	47783234	47806857	+	MSH6
chr2	47789439	47905720	-	FBXO11
chr2	48346215	48375440	+	FOXN2
chr2	48440954	48514741	+	PPP1R21
chr2	48580634	48776312	+	STON1-GTF2A1L
chr2	48580634	48595299	+	STON1
chr2	48617875	48732922	+	GTF2A1L
chr2	48687700	48755671	-	LHCGR
chr2	48698757	48755671	-	RP11-310N16.1
chr2	48962736	49154417	-	FSHR
chr2	49921947	51028273	-	NRXN1
chr2	53604833	53765572	-	ASB3
chr2	53767887	53774522	+	CHAC2
chr2	53787211	53817966	+	ERLEC1
chr2	53853137	53854756	-	GPR75
chr2	53866092	53970784	-	PSME4
chr2	53973749	54304799	+	ACYP2
chr2	54254922	54256151	-	TSPYL6
chr2	54330166	54381970	+	C2orf73
chr2	54526419	54668566	+	SPTBN1
chr2	54725062	54970092	+	EML6
chr2	54973159	55050300	-	RTN4
chr2	55175793	55222411	-	CLHC1
chr2	55232825	55235574	+	RPS27A
chr2	55236651	55263858	-	MTIF2
chr2	55291714	55419079	-	CCDC88A
chr2	55519802	55545005	+	CFAP36
chr2	55549914	55617285	-	PPP4R3B
chr2	55636240	55693823	-	PNPT1
chr2	55867076	55922440	-	EFEMP1
chr2	56184625	56384352	+	CCDC85A
chr2	58048578	58159690	+	VRK2
chr2	58159768	58241313	-	FANCL
chr2	60452568	60553270	-	BCL11A
chr2	60756479	60797157	+	PAPOLG
chr2	60881841	60922532	+	REL
chr2	60942398	61011890	-	PUS10
chr2	61017760	61048767	+	PEX13
chr2	61070351	61134229	+	KIAA1841
chr2	61157878	61164524	+	C2orf74
chr2	61188105	61470692	-	USP34
chr2	61478823	61533897	-	XPO1
chr2	61826458	61854041	-	FAM161A
chr2	61868695	61888507	-	CCT4
chr2	61905679	62135938	+	COMMD1
chr2	62222221	62223411	+	B3GNT2
chr2	62501212	62506129	-	TMEM17
chr2	62674086	63045497	+	EHBP1
chr2	63052991	63056313	+	OTX1
chr2	63122009	63588271	-	WDPCP
chr2	63589044	63607041	+	MDH1
chr2	63842186	63891224	+	UGP2
chr2	63893433	63983999	-	VPS54
chr2	64094705	64108310	-	PELI1
chr2	64454546	64458425	+	LGALSL
chr2	64551475	64592032	+	AFTPH
chr2	64635930	64636871	-	SERTAD2
chr2	64989644	65021143	+	SLC1A4
chr2	65069445	65082702	+	CEP68
chr2	65088496	65129915	-	RAB1A
chr2	65227910	65268731	+	ACTR2
chr2	65313504	65431987	-	SPRED2
chr2	66435857	66571526	+	MEIS1
chr2	67397449	67410035	+	ETAA1
chr2	68042892	68053168	-	C1D
chr2	68131241	68157443	-	WDR92
chr2	68157464	68217104	-	RP11-474G23.1
chr2	68157935	68174799	+	PNO1
chr2	68180966	68256115	-	PPP3R1
chr2	68284431	68319400	-	CNRIP1
chr2	68365352	68395813	+	PLEK
chr2	68464212	68465145	-	FBXO48
chr2	68467732	68655573	+	APLF
chr2	68645822	68655573	+	PROKR1
chr2	68735200	68826191	+	ARHGAP25
chr2	68865634	68871358	-	BMP10
chr2	68945371	68952861	-	GKN2
chr2	68974636	68980820	+	GKN1
chr2	69013500	69245482	+	ANTXR1
chr2	69326192	69387071	-	GFPT1
chr2	69396249	69437422	-	NFU1
chr2	69461670	69643040	-	AAK1
chr2	69781566	69825512	+	ANXA4
chr2	69829893	69879001	+	GMCL1
chr2	69893985	69904379	+	SNRNP27
chr2	69915331	69938281	+	MXD1
chr2	69960660	69961436	-	ASPRV1
chr2	70087744	70088811	+	PCBP1
chr2	70150359	70181985	-	C2orf42
chr2	70212722	70248430	-	TIA1
chr2	70258165	70277389	+	PCYOX1
chr2	70281637	70293649	-	SNRPG
chr2	70297292	70302011	-	FAM136A
chr2	70449608	70553767	-	TGFA
chr2	70663428	70767899	-	ADD2
chr2	70777370	70790638	-	FIGLA
chr2	70809100	70820523	-	CLEC4F
chr2	70831053	70835776	-	CD207
chr2	70900622	70939483	+	VAX2
chr2	70935955	70965119	+	ATP6V1B1
chr2	70942318	70994757	-	AC007040.11
chr2	70978646	70985297	+	ANKRD53
chr2	70988603	70994757	-	TEX261
chr2	71068546	71078505	+	NAGK
chr2	71109973	71130219	-	MCEE
chr2	71130666	71150012	+	MPHOSPH10
chr2	71188482	71202589	-	PAIP2B
chr2	71276639	71434804	+	ZNF638
chr2	71453999	71686489	+	DYSF
chr2	72132230	72147834	-	CYP26B1
chr2	72179338	72825910	-	EXOC6B
chr2	72887433	72891534	+	SPR
chr2	72916684	72933951	+	EMX1
chr2	72945025	73071705	-	SFXN5
chr2	73075524	73112777	-	RAB11FIP5
chr2	73202667	73210926	+	NOTO
chr2	73214267	73225943	+	SMYD5
chr2	73228457	73233160	-	PRADC1
chr2	73234379	73252858	+	CCT7
chr2	73258985	73269630	-	FBXO41
chr2	73291460	73293626	-	EGR4
chr2	73385869	73609683	+	ALMS1
chr2	73640948	73641628	-	NAT8
chr2	73729946	73734569	-	TPRKB
chr2	73762664	73780115	-	DUSP11
chr2	73784310	73816989	+	C2orf78
chr2	73830857	73870208	+	STAMBP
chr2	73901312	73919572	+	ACTG2
chr2	73926911	73958733	+	DGUOK
chr2	73986404	74102173	+	TET3
chr2	74135525	74147874	-	BOLA3
chr2	74156571	74178674	-	MOB1A
chr2	74187435	74214239	+	MTHFD2
chr2	74218630	74315023	-	SLC4A5
chr2	74361502	74390627	-	DCTN1
chr2	74361502	74363377	-	RP11-287D1.3
chr2	74408211	74415891	-	RP11-523H20.5
chr2	74414332	74421560	-	C2orf81
chr2	74421751	74425698	+	WDR54
chr2	74426246	74441816	-	RTKN
chr2	74455117	74457861	+	INO80B
chr2	74455117	74459686	+	INO80B-WBP1
chr2	74458603	74460678	+	WBP1
chr2	74461278	74465247	-	MOGS
chr2	74472122	74472660	-	MRPL53
chr2	74474549	74482837	-	CCDC142
chr2	74483096	74493215	+	TTC31
chr2	74497930	74502859	-	LBX2
chr2	74505146	74507668	-	PCGF1
chr2	74514224	74516428	+	TLX2
chr2	74518449	74525729	-	DQX1
chr2	74526803	74529629	-	AUP1
chr2	74530007	74532982	+	HTRA2
chr2	74533609	74552634	-	LOXL3
chr2	74554755	74557111	+	DOK1
chr2	74558719	74640275	-	M1AP
chr2	74654377	74680206	+	SEMA4F
chr2	74834581	74890938	+	HK2
chr2	74958680	74969419	+	POLE4
chr2	75049435	75198934	-	TACR1
chr2	75493239	75518140	-	EVA1A
chr2	75646808	75679818	+	MRPL19
chr2	75664669	75710855	-	GCFC2
chr2	76748698	77522115	-	LRRTM4
chr2	79026094	79028273	+	REG3G
chr2	79085209	79087612	-	REG1B
chr2	79120862	79123212	+	REG1A
chr2	79157229	79159405	-	REG3A
chr2	79651557	80647869	+	CTNNA2
chr2	80302254	80303819	-	LRRTM1
chr2	84423749	84459269	-	SUCLG1
chr2	84517827	84819405	+	DNAH6
chr2	84821920	84881039	-	TRABD2A
chr2	84906018	84906420	+	TMSB10
chr2	84971452	85053406	+	KCMF1
chr2	85133685	85309459	+	TCF7L1
chr2	85322668	85327962	-	TGOLN2
chr2	85343245	85354507	-	RETSAT
chr2	85357199	85390959	+	ELMOD3
chr2	85394896	85402145	-	CAPG
chr2	85429466	85436579	+	SH2D6
chr2	85539288	85543769	+	MAT2A
chr2	85549937	85561428	-	GGCX
chr2	85577647	85581713	+	VAMP8
chr2	85584491	85593154	+	VAMP5
chr2	85595764	85597562	+	RNF181
chr2	85599079	85601948	-	TMEM150A
chr2	85608948	85611984	-	C2orf68
chr2	85612326	85648805	+	USP39
chr2	85661476	85668183	-	SFTPB
chr2	85694419	85698747	+	GNLY
chr2	85754190	85786887	+	ATOH8
chr2	85840147	85905002	-	ST3GAL5
chr2	86027426	86105776	-	POLR1A
chr2	86106248	86137556	+	PTCD3
chr2	86144271	86195382	-	IMMT
chr2	86199491	86213646	+	MRPL35
chr2	86217042	86338076	-	REEP1
chr2	86442048	86492116	+	KDM3A
chr2	86505807	86563348	-	CHMP3
chr2	86505807	86622886	-	RNF103-CHMP3
chr2	86603846	86622886	-	RNF103
chr2	86720668	86773408	+	RMND5A
chr2	86785923	86790825	-	CD8A
chr2	86815610	86861865	-	CD8B
chr2	86907969	87012544	+	RGPD1
chr2	87016306	87021783	-	PLGLB1
chr2	87748154	87753630	+	PLGLB2
chr2	87757395	87825729	-	RGPD2
chr2	88027787	88028563	-	KRCC1
chr2	88067865	88112116	+	SMYD1
chr2	88123057	88128017	-	FABP1
chr2	88171304	88186120	+	THNSL2
chr2	88448210	88452535	-	FOXI3
chr2	88525645	88529471	+	TEX37
chr2	88557739	88627274	-	EIF2AK3
chr2	88691699	88750075	+	RPIA
chr2	94588522	94604570	+	RP11-407P15.2
chr2	94871580	94876766	+	TEKT4
chr2	95025793	95053452	+	MAL
chr2	95087360	95121791	-	MRPS5
chr2	95149285	95165072	-	ZNF514
chr2	95176227	95182103	+	ZNF2
chr2	95207816	95259144	+	AC092835.2
chr2	95274586	95288993	+	PROM2
chr2	95297439	95384046	+	KCNIP3
chr2	95405559	95412954	+	FAHD2A
chr2	95477167	95482714	-	TRIM43B
chr2	95594024	95599570	+	TRIM43
chr2	95851175	95991708	-	ANKRD36C
chr2	96022162	96032359	-	GPAT2
chr2	96114800	96116149	-	ADRA2B
chr2	96123853	96138436	-	ASTL
chr2	96143826	96145354	-	DUSP2
chr2	96186733	96208434	-	STARD7
chr2	96253811	96265381	-	TMEM127
chr2	96266351	96271348	+	CIAO1
chr2	96275015	96305437	-	SNRNP200
chr2	96325840	96328296	+	ITPRIPL1
chr2	96335830	96373348	+	NCAPH
chr2	96498247	96505286	-	NEURL3
chr2	96536827	96552393	+	ARID5A
chr2	96595614	96637135	-	KANSL3
chr2	96642837	96704689	+	FER1L5
chr2	96707259	96740040	-	LMAN2L
chr2	96761000	96809514	+	CNNM4
chr2	96816278	96832613	+	CNNM3
chr2	96839552	96843992	-	ANKRD23
chr2	96848304	96857987	-	ANKRD39
chr2	96860629	96867886	-	SEMA4C
chr2	96876279	96986313	-	FAM178B
chr2	97083758	97091706	-	FAHD2B
chr2	97113740	97250164	+	ANKRD36
chr2	97507045	97589685	-	ANKRD36B
chr2	97646087	97648105	+	COX5B
chr2	97656861	97663890	-	ACTR1B
chr2	97669789	97702798	+	C2orf92
chr2	97724037	97739495	+	ZAP70
chr2	97757102	97995662	-	TMEM131
chr2	98093093	98312346	+	VWA3B
chr2	98369976	98397252	+	CNGA3
chr2	98520049	98587605	+	INPP4A
chr2	98600755	98608405	-	COA5
chr2	98609709	98618301	+	UNC50
chr2	98621434	98726332	-	MGAT4A
chr2	98794535	98897408	-	CRACDL
chr2	98998200	99141139	-	TSGA10
chr2	99147468	99195702	+	RP11-111H13.1
chr2	99150559	99150831	+	C2orf15
chr2	99161958	99163076	+	LIPT1
chr2	99169378	99180981	-	MITD1
chr2	99186204	99195702	+	MRPL30
chr2	99186204	99195229	+	RP11-38C17.1
chr2	99242367	99254260	-	LYG2
chr2	99284396	99295670	-	LYG1
chr2	99319685	99333210	-	TXNDC9
chr2	99337555	99399411	+	EIF5B
chr2	99401244	99464975	-	REV1
chr2	99551477	100104454	-	AFF3
chr2	100284301	100322093	-	LONRF2
chr2	100393248	100417029	-	CHST10
chr2	100470489	100483261	+	NMS
chr2	100563068	100576493	+	PDCL3
chr2	100821027	100995813	+	NPAS2
chr2	101002702	101023638	+	RPL31
chr2	101007824	101151253	-	TBC1D8
chr2	101252965	101269410	+	CNOT11
chr2	101273307	101308588	-	RNF149
chr2	101350926	101387457	-	CREG2
chr2	101397551	101474275	-	RFX8
chr2	101698081	101891246	+	MAP4K4
chr2	102008576	102028389	+	IL1R2
chr2	102157725	102177234	+	IL1R1
chr2	102187015	102239238	+	IL1RL2
chr2	102338265	102351918	+	IL1RL1
chr2	102362661	102396883	+	IL18R1
chr2	102423278	102452178	+	IL18RAP
chr2	102473760	102532685	+	SLC9A4
chr2	102619849	102708486	+	SLC9A2
chr2	102718423	102736810	-	MFSD9
chr2	102758471	102965688	+	TMEM182
chr2	104855511	104857010	+	POU3F3
chr2	105038093	105099758	+	MRPS9
chr2	105241859	105242974	+	GPR45
chr2	105267386	105308301	-	TGFBRAP1
chr2	105337588	105345368	+	C2orf49
chr2	105361286	105386516	-	FHL2
chr2	105855064	105893173	+	NCK2
chr2	106065765	106077923	+	ECRG4
chr2	106094029	106194241	-	UXS1
chr2	106391482	106468288	-	RGPD3
chr2	106487427	106544034	+	CD8B2
chr2	106806681	106843977	-	ST6GAL2
chr2	107827014	107890728	+	RGPD4
chr2	107988156	108010858	+	SLC5A7
chr2	108247195	108265348	+	SULT1C3
chr2	108293668	108308461	+	SULT1C2
chr2	108378338	108387429	+	SULT1C4
chr2	108449275	108507627	+	GCC2
chr2	108534563	108683996	+	LIMS1
chr2	108719607	108783898	+	RANBP2
chr2	108786823	108882744	+	CCDC138
chr2	108896910	108931014	-	EDAR
chr2	109129541	109501668	+	SH3RF3
chr2	109544125	109613827	-	SEPTIN10
chr2	109614490	109616064	+	SOWAHC
chr2	109794466	109855893	+	RGPD5
chr2	109898729	109924766	+	LIMS3
chr2	109898729	109919552	+	AC013271.7
chr2	110085698	110115792	-	MALL
chr2	110123794	110204968	-	NPHP1
chr2	110212358	110212771	-	MTLN
chr2	110446742	110472778	-	LIMS4
chr2	110451955	110472778	-	AC108938.5
chr2	110515614	110577024	-	RGPD6
chr2	110637967	110677995	-	BUB1
chr2	110768390	111117813	+	ACOXL
chr2	111123746	111164228	+	BCL2L11
chr2	111766964	111880825	-	ANAPC1
chr2	111898736	112028861	+	MERTK
chr2	112055592	112116140	+	TMEM87B
chr2	112138656	112187537	+	FBLN7
chr2	112216468	112254981	-	ZC3H8
chr2	112275995	112332485	+	ZC3H6
chr2	112370181	112433453	-	RGPD8
chr2	112482345	112528792	+	TTL
chr2	112542152	112575726	+	POLR1B
chr2	112584648	112588886	+	CHCHD5
chr2	112646829	112663022	+	SLC20A1
chr2	112721537	112742447	+	NT5DC4
chr2	112738826	112764598	-	CKAP2L
chr2	112775070	112783770	-	IL1A
chr2	112830364	112836229	-	IL1B
chr2	112913013	112918806	+	IL37
chr2	112978639	112985046	+	IL36G
chr2	113005872	113008041	+	IL36A
chr2	113022677	113031709	-	IL36B
chr2	113059439	113062674	+	IL36RN
chr2	113072739	113075361	+	IL1F10
chr2	113118019	113132868	+	IL1RN
chr2	113182457	113201412	+	PSD4
chr2	113218508	113278394	-	PAX8
chr2	113437869	113495740	+	CBWD2
chr2	113499257	113500480	+	FOXD4L1
chr2	113628607	113642126	+	RABL2A
chr2	113717778	113756409	-	SLC35F5
chr2	113890280	113957452	+	ACTR3
chr2	114442779	115842342	+	DPP10
chr2	117814778	117830721	+	DDX18
chr2	117920346	118013995	-	CCDC93
chr2	118096557	118108359	+	INSIG2
chr2	118842941	118847167	-	EN1
chr2	118942301	118994517	+	MARCO
chr2	119156805	119158269	-	C1QL2
chr2	119231013	119263335	+	STEAP3
chr2	119302475	119366510	-	C2orf76
chr2	119367052	119372315	+	DBI
chr2	119429927	119437437	+	TMEM37
chr2	119440120	119525260	-	SCTR
chr2	119546132	119656467	+	CFAP221
chr2	119680854	119685711	+	TMEM177
chr2	119809854	119977067	+	PTPN4
chr2	120019085	120174904	+	EPB41L5
chr2	120221927	120222976	-	TMEM185B
chr2	120240107	120293257	+	RALB
chr2	120346189	120349871	+	INHBB
chr2	120797321	120990672	+	GLI2
chr2	121224344	121285109	-	TFCP2L1
chr2	121340864	121605895	-	CLASP1
chr2	121727727	121736850	-	NIFK
chr2	121737103	121765364	+	TSN
chr2	124025651	124914285	+	CNTNAP5
chr2	126656264	126696139	+	GYPC
chr2	126898919	126902014	+	TEX51
chr2	127048529	127106943	-	BIN1
chr2	127187274	127220270	-	CYP27C1
chr2	127257351	127294081	-	ERCC3
chr2	127307582	127343129	-	MAP3K2
chr2	127419943	127428943	+	PROC
chr2	127470353	127526684	-	IWS1
chr2	127559723	127637414	+	MYO7B
chr2	127639284	127675024	-	LIMS2
chr2	127650012	127651752	+	GPR17
chr2	127701529	127702173	+	SFT2D3
chr2	127706326	127770981	-	WDR33
chr2	127848110	127858100	-	POLR2D
chr2	127865097	127874234	-	AMMECR1L
chr2	127942009	128027163	-	SAP130
chr2	128091358	128189739	+	UGGT1
chr2	128268165	128318563	-	HS6ST1
chr2	129980116	129980877	+	RAB6C
chr2	130074247	130120515	-	POTEF
chr2	130139558	130144996	-	CCDC74B
chr2	130152558	130181601	-	SMPD4
chr2	130181737	130190688	+	MZT2B
